"*Nama Kontak","Nama Perusahaan","Email","Alamat","Provinsi","Kota","Nomor Telepon","*Nomor Biaya","*Tanggal Transaksi (dd/mm/yyyy)","Tanggal Jatuh Tempo (dd/mm/yyyy)","Catatan","Termasuk Pajak (Ya / Tidak)","*Kode Akun Biaya","Nama Akun Biaya","Deskripsi Biaya","Pajak Biaya","Jumlah Biaya","Status Dibayar (Ya / Tidak)","Kode Akun Pembayaran","Tag (Beberapa Tag Dipisah Dengan Koma)","Kode Akun Pemotongan","Jumlah Pemotongan","Sisa Tagihan","Total","Tanggal Pembayaran (dd/mm/yyyy)","Pembayaran Kas & Bank"
"KURIR","","","","","","","EXP/01131","13/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","kasih driver anter sample bahan mania blow","","51000","Ya","1-10001","","","","0","51000","13/01/2025","Cash"
"TOKO BANGUNAN","","","","","","","EXP/01130","13/01/2025","","","Tidak","6-60203","Perbaikan & Pemeliharaan","Pembelian seal tape","","10000","Ya","1-10001","","","","0","10000","13/01/2025","Cash"
"M. Slamet Riyadi","","","Kp. Periuk RT. 003/004, Mekarsari, Rajeg, Tangerang, Banten","Banten","Tangerang","","EXP/01129","11/01/2025","","","Tidak","6-60102","Upah","Payroll Adi (2 D)","","80000","Ya","1-10001","","","","0","80000","11/01/2025","Cash"
"JNE","","","","","","","EXP/01128","09/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","ongkir kirim sample gelas ke cikarang","","10000","Ya","1-10001","","","","0","10000","09/01/2025","Cash"
"TOSERBA","","","","","","","EXP/01127","09/01/2025","","","Tidak","6-60211","Sarana Kantor","beli gas  kecil","","25800","Ya","1-10001","","","","0","25800","09/01/2025","Cash"
"RT. 03/04 (Kampung)","","","","","","","EXP/01126","09/01/2025","","","Tidak","6-60200","Donasi","kasih rt urdi /rt kampung","","100000","Ya","1-10001","","","","0","100000","09/01/2025","Cash"
"TOSERBA","","","","","","","EXP/01125","06/01/2025","","","Tidak","6-60211","Sarana Kantor","sabun cuci tangan","","4000","Ya","1-10001","","","","0","4000","06/01/2025","Cash"
"TOSERBA","","","","","","","EXP/01124","06/01/2025","","","Tidak","6-60203","Perbaikan & Pemeliharaan","beli doublebtape. 2mm","","10000","Ya","1-10001","","","","0","10000","06/01/2025","Cash"
"TOKO BANGUNAN","","","","","","","EXP/01123","06/01/2025","","","Tidak","6-60203","Perbaikan & Pemeliharaan","beli doublebtape. 2mm","","15000","Ya","1-10001","","","","0","15000","06/01/2025","Cash"
"TOKO BANGUNAN","","","","","","","EXP/01122","02/01/2025","","","Tidak","6-60203","Perbaikan & Pemeliharaan","beli kabel ties besar","","30000","Ya","1-10001","","","","0","30000","02/01/2025","Cash"
"TOSERBA","","","","","","","EXP/01121","30/12/2024","","","Tidak","6-60205","Entertain","Pembelian Rokok buat orang borong rata in tanah 2 bungkus","","32000","Ya","1-10001","","","","0","32000","30/12/2024","Cash"
"BANK OPERASIONAL","","","","","","","EXP/01120","17/01/2025","","","Tidak","8-80000","Beban Bunga","BCA Operasional - Biaya ADM","","16000","Ya","1-10003","","","","0","16000","17/01/2025","Giro"
"Siti Maida Julfah","","","Kp. Cilongok RT. 001/008, Daon, Rajeg, Tangerang, Banten","Banten","Tangerang","0895324110826","EXP/01119","18/01/2025","","","Tidak","6-60102","Upah","Payroll Siti Maida Julfah (6 D)","","480000","Ya","1-10003","","","","0","480000","18/01/2025","Giro"
"Sifa Paujiah","","","Kp. Pasar Daon RT. 001/003, Daon, Rajeg, Tangerang, Banten","Banten","Tangerang","083890437044","EXP/01118","18/01/2025","","","Tidak","6-60102","Upah","Payroll Sifa Paujiah (6 D)","","480000","Ya","1-10003","","","","0","480000","18/01/2025","Giro"
"Suliwati Jacup","LILOI (Plastic Mold Accessories)","","Jl. Daan Mogot Km. 19.6 Pusat Niaga Terpadu Blok GG 8P, Kebon Besar, Batuceper, Kota Tangerang, Banten","Banten","Kota Tangerang","02154365153","EXP/01117","17/01/2025","","","Tidak","6-60203","Perbaikan & Pemeliharaan","Selang PU Transparan M6 (10 m)","","45000","Ya","1-10003","Moulding S Palang","","","0","233000","17/01/2025","Giro"
"Suliwati Jacup","LILOI (Plastic Mold Accessories)","","Jl. Daan Mogot Km. 19.6 Pusat Niaga Terpadu Blok GG 8P, Kebon Besar, Batuceper, Kota Tangerang, Banten","Banten","Kota Tangerang","02154365153","EXP/01117","17/01/2025","","","Tidak","6-60203","Perbaikan & Pemeliharaan","Per Kuning 40x60 mm (4 pcs)","","100000","Ya","1-10003","Moulding S Palang","","","0","233000","17/01/2025","Giro"
"Suliwati Jacup","LILOI (Plastic Mold Accessories)","","Jl. Daan Mogot Km. 19.6 Pusat Niaga Terpadu Blok GG 8P, Kebon Besar, Batuceper, Kota Tangerang, Banten","Banten","Kota Tangerang","02154365153","EXP/01117","17/01/2025","","","Tidak","6-60203","Perbaikan & Pemeliharaan","Per Kuning 40x50 mm (4 pcs)","","88000","Ya","1-10003","Moulding S Palang","","","0","233000","17/01/2025","Giro"
"Gunadi","","","","","","","EXP/01116","16/01/2025","16/01/2025","","Tidak","6-60203","Perbaikan & Pemeliharaan","Pembelian Tool & Part Mesin No. 4","","125000","Ya","1-10004","Mesin No. 4","","","0","125000","16/01/2025","Bank BRI"
"TOSERBA","","","","","","","EXP/01115","15/01/2025","","","Tidak","6-60205","Entertain","Pembelian Le Mineral 2","","8000","Ya","1-10001","","","","0","8000","15/01/2025","Cash"
"LALAMOVE","","","","","","","EXP/01109","08/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman Moulding OZ 16 Up. Bengkel Bp Pranto","","63364","Ya","1-10001","","","","0","63364","08/01/2025","Cash"
"Shopee","","","","","","","EXP/01107","15/01/2025","","200791409533","Tidak","6-60001","Iklan & Promosi","Biaya Administrasi","","27200","Ya","1-10005","","","","0","27200","15/01/2025","Kas penjualan online"
"LAZADA","","","","","","","EXP/01106","13/01/2025","","JNEB-1019116574","Tidak","6-60002","Komisi & Fee","Komisi","","29676","Ya","1-10005","","","","0","38414","13/01/2025","Kas penjualan online"
"LAZADA","","","","","","","EXP/01106","13/01/2025","","JNEB-1019116574","Tidak","6-60005","Komunikasi - Penjualan","Biaya Transaksi","","8738","Ya","1-10005","","","","0","38414","13/01/2025","Kas penjualan online"
"EKSPEDISI","","","","","","","EXP/01105","16/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengirmana Paku S Palang Hitam 1.250 kg Up. Bp Indra Yunsetianto","","1875000","Ya","1-10003","","","","0","1875000","16/01/2025","Giro"
"KOBRA","","","","","","","EXP/01104","16/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman Paku S Palang Hitam 30 kg Up. PT Rimba Sempana Indonesia","","150000","Ya","1-10003","","","","0","150000","16/01/2025","Giro"
"LALAMOVE","","","","","","","EXP/01103","15/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Parkir dan bongkar muatan","","50000","Ya","1-10003","","","","0","50000","15/01/2025","Giro"
"TOKPED","","","","","","","EXP/01102","15/01/2025","","","Tidak","6-60201","Hiburan","Pembelian Pakan Pelet Iran KoiSakura Food Apung Ukuran 5mm (10 kg)","","188200","Ya","1-10003","","","","0","188200","15/01/2025","Giro"
"TOKPED","","","","","","","EXP/01101","15/01/2025","","","Tidak","6-60218","Air","Pembayaran Tagihan Air PDAM Meteran 2","","30999","Ya","1-10003","","","","0","30999","15/01/2025","Giro"
"TOKPED","","","","","","","EXP/01100","15/01/2025","","","Tidak","6-60218","Air","Pembayaran Air PDAM Meteran 1","","93749","Ya","1-10003","","","","0","93749","15/01/2025","Giro"
"LALAMOVE","","","","","","","EXP/01099","14/01/2025","","PO.2025.01.00012","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman CUP NJI PO.2025.01.00012","","220000","Ya","1-10003","IMA","","","0","220000","14/01/2025","Giro"
"I SEVEN","","","","","","","EXP/01098","13/01/2025","","","Tidak","6-60206","Komunikasi - Umum","Pembayaran Tagihan WiFi Januari 2025","","225000","Ya","1-10003","","","","0","225000","13/01/2025","Giro"
"HAFIZ","","","","","","","EXP/01097","11/01/2025","","","Tidak","6-60102","Upah","Payroll Pak Hafiz (6 D)","","600000","Ya","1-10003","","","","0","600000","11/01/2025","Giro"
"PLN","","","","","","","EXP/01096","14/01/2025","","","Tidak","6-60217","Listrik","Pembayaran TagLis January 2025","","6442550","Ya","1-10002","","","","0","6442550","14/01/2025","Bank Account"
"TOKPED","","","","","","","EXP/01095","11/01/2025","","TLJC35VYUVGYKMHK","Tidak","6-60001","Iklan & Promosi","Biaya Layanan Reguler Shop","","19200","Ya","1-10005","","","","0","28800","11/01/2025","Kas penjualan online"
"TOKPED","","","","","","","EXP/01095","11/01/2025","","TLJC35VYUVGYKMHK","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Layanan Bebas Ongkir Reguler Shop","","9600","Ya","1-10005","","","","0","28800","11/01/2025","Kas penjualan online"
"Shopee","","","","","","","EXP/01094","12/01/2025","","200789298381","Tidak","6-60001","Iklan & Promosi","Biaya Administrasi","","54400","Ya","1-10005","","","","0","54400","12/01/2025","Kas penjualan online"
"Sifa Paujiah","","","Kp. Pasar Daon RT. 001/003, Daon, Rajeg, Tangerang, Banten","Banten","Tangerang","083890437044","EXP/01093","11/01/2025","","","Tidak","6-60102","Upah","Payroll Sifa Paujiah (6 D) Operator Produksi","","420000","Ya","1-10003","","","","0","420000","11/01/2025","Giro"
"Siti Maida Julfah","","","Kp. Cilongok RT. 001/008, Daon, Rajeg, Tangerang, Banten","Banten","Tangerang","0895324110826","EXP/01092","11/01/2025","","","Tidak","6-60102","Upah","Payroll Julfah (6 D) Operator Produksi","","420000","Ya","1-10003","","","","0","420000","11/01/2025","Giro"
"Shopee","","","","","","","EXP/01091","08/01/2025","","200785058769","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Administrasi","","78720","Ya","1-10005","Hokky Plast","","","0","78720","08/01/2025","Kas penjualan online"
"LALAMOVE","","","","","","","EXP/01090","09/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman OZ 12 OVAL R. dan Flip LID Up. Bp Efendy","","449000","Ya","1-10003","","","","0","449000","09/01/2025","Giro"
"LALAMOVE","","","","","","","EXP/01089","08/01/2025","","PO.2025.01.00006","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman CUP OZ 12 NJI PO.2025.01.00006","","220000","Ya","1-10003","IMA","","","0","220000","08/01/2025","Giro"
"TOKPED","","","","","","","EXP/01088","09/01/2025","","TLJC3DDFMDGVGXRJ","Tidak","6-60007","Biaya MDR Penjualan","Biaya layanan power shop","","272000","Ya","1-10005","","","","0","372000","09/01/2025","Kas penjualan online"
"TOKPED","","","","","","","EXP/01088","09/01/2025","","TLJC3DDFMDGVGXRJ","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya layanan bebas ongkir power shop","","100000","Ya","1-10005","","","","0","372000","09/01/2025","Kas penjualan online"
"TOKPED","","","","","","","EXP/01087","09/01/2025","","TLJC3DMFL5GYDE3P","Tidak","6-60007","Biaya MDR Penjualan","Biaya layanan power shop","","136000","Ya","1-10005","","","","0","186000","09/01/2025","Kas penjualan online"
"TOKPED","","","","","","","EXP/01087","09/01/2025","","TLJC3DMFL5GYDE3P","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya layanan bebas ongkir power shop","","50000","Ya","1-10005","","","","0","186000","09/01/2025","Kas penjualan online"
"TOKPED","","","","","","","EXP/01086","06/01/2025","","CANCEL INV_20250106_MPL_4382397707","Tidak","5-50200","Retur Pembelian","Pot. Biaya Retur INV_20250106_MPL_4382397707","","608","Ya","1-10003","","","","0","608","06/01/2025","Giro"
"HAFIZ","","","","","","","EXP/01085","06/01/2025","","","Tidak","6-60002","Komisi & Fee","Komisi Penjualan Bp. Hafiz (19 Nov 24)","","565000","Ya","1-10003","","","","0","565000","06/01/2025","Giro"
"IMA","","","","","","","EXP/01084","06/01/2025","","","Tidak","6-60002","Komisi & Fee","Pembayaran Komisi IMA (01 Nov - 17 Des 24)","","2207520","Ya","1-10003","IMA","","","0","2207520","06/01/2025","Giro"
"BPJS KESEHATAN","","","","","","","EXP/01083","06/01/2025","","","Tidak","6-60107","Jamsostek","Pembayaran BPJS Kesehatan Bp. Tohari","","400000","Ya","1-10004","","","","0","400000","06/01/2025","Bank BRI"
"Gunadi","","","","","","","EXP/01082","06/01/2025","","","Tidak","6-60203","Perbaikan & Pemeliharaan","Pembelian Tool & Part Mesin No. 4","","208000","Ya","1-10004","Mesin No. 4","","","0","208000","06/01/2025","Bank BRI"
"HAFIZ","","","","","","","EXP/01081","04/01/2025","","","Tidak","6-60102","Upah","Payroll Pak Hafiz (3 D)","","200000","Ya","1-10003","","","","0","200000","04/01/2025","Giro"
"ASTUTI","","","","","","","EXP/01080","04/01/2025","","","Tidak","6-60102","Upah","Payroll Astuti (2.5 D)","","200000","Ya","1-10001","","","","0","200000","04/01/2025","Cash"
"Shopee","","","","","","","EXP/01079","04/01/2025","","","Tidak","6-60001","Iklan & Promosi","Topup Saldo Iklan Shopee","","112000","Ya","1-10003","","","","0","112000","04/01/2025","Giro"
"KURIR","","","","","","","EXP/01078","03/01/2025","","","Tidak","6-60203","Perbaikan & Pemeliharaan","Jasa Meratakan Tanah Gudang 2 Orang Tukang (2 D)","","300000","Ya","1-10003","","","","0","300000","03/01/2025","Giro"
"J&T CARGO","","","","","","","EXP/01077","03/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya J&T Cargo Bulanan","","200000","Ya","1-10003","","","","0","200000","03/01/2025","Giro"
"DIRJEN PAJAK","","","","","","","EXP/01076","03/01/2025","","","Tidak","9-90000","Beban Pajak - Kini","Pembayaran PPh Pasal 4 Ayat 2 atas Sewa Tanah dan/atau Bangunan","","300000","Ya","1-10002","","","","0","300000","03/01/2025","Bank Account"
"OLA","","","","","","","EXP/01075","30/12/2024","","","Tidak","6-60102","Upah","Payroll Ola 2 d","","140000","Ya","1-10001","","","","0","140000","30/12/2024","Cash"
"HAFIZ","","","","","","","EXP/01074","30/12/2024","","","Tidak","6-60102","Upah","Payroll Bp Hafiz 5 d (Lembur)","","520000","Ya","1-10001","","","","0","520000","30/12/2024","Cash"
"ASTUTI","","","","","","","EXP/01073","30/12/2024","","","Tidak","6-60102","Upah","Payroll Astuti 7 d (Lembur)","","580000","Ya","1-10001","","","","0","580000","30/12/2024","Cash"
"LALAMOVE","","","","","","","EXP/01072","02/01/2025","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman Paku S Palang Hitam 200 kg Up. PT Tritools Indonesia","","180000","Ya","1-10003","","","","0","180000","02/01/2025","Giro"
"Bank Corporate","","","","","","","EXP/01071","31/12/2024","","","Tidak","8-80000","Beban Bunga","BCA Corporate - Biaya ADM","","30000","Ya","1-10002","","","","0","30000","31/12/2024","Bank Account"
"Bank MANDIRI","","","","","","","EXP/01070","01/01/2025","","","Tidak","6-60400","Biaya Sewa - Bangunan","Biaya Sewa Tempat Jan 2025","","3002500","Ya","1-10002","","","","0","3002500","01/01/2025","Bank Account"
"M Munir","","","","","","","EXP/01069","01/01/2025","","","Tidak","6-60101","Gaji","Payroll Des 2024 (Owner)","","3000000","Ya","1-10002","","","","0","3000000","01/01/2025","Bank Account"
"TOHARI","","","","","","","EXP/01068","31/12/2024","","","Tidak","6-60102","Upah","Payroll Des 24 (Kepala Gudang)","","4002500","Ya","1-10004","Upah","","","0","4002500","31/12/2024","Bank BRI"
"MADAM TAX","","","","","","","EXP/01067","31/12/2024","","","Tidak","6-60209","Legal & Profesional","Pembayaran SPM Masa November 24","","500000","Ya","1-10003","","","","0","500000","31/12/2024","Giro"
"Santi Yulianti","","","","","","","EXP/01066","31/12/2024","","","Tidak","6-60102","Upah","Payroll Des 24 (Admin)","","2500000","Ya","1-10003","Upah","","","0","2500000","31/12/2024","Giro"
"TOSERBA","","","","","","","EXP/01065","31/12/2024","","","Tidak","6-60205","Entertain","beli rokok buat orang borong rata in tanah 2 bungkus","","32000","Ya","1-10001","","","","0","32000","31/12/2024","Cash"
"TOKO BANGUNAN","","","","","","","EXP/01064","29/12/2024","","","Tidak","6-60203","Perbaikan & Pemeliharaan","Pembelian Scotch Brite 1 Lesbar","","20000","Ya","1-10001","","","","0","20000","29/12/2024","Cash"
"TOSERBA","","","","","","","EXP/01063","28/12/2024","","","Tidak","6-60205","Entertain","beli minum tamu kontraktor","","12000","Ya","1-10001","","","","0","37000","28/12/2024","Cash"
"TOSERBA","","","","","","","EXP/01063","28/12/2024","","","Tidak","6-60205","Entertain","beli teh solo buat tamu","","5000","Ya","1-10001","","","","0","37000","28/12/2024","Cash"
"TOSERBA","","","","","","","EXP/01063","28/12/2024","","","Tidak","6-60301","Alat Tulis Kantor & Printing","print denah project gudang","","20000","Ya","1-10001","","","","0","37000","28/12/2024","Cash"
"TOKO BANGUNAN","","","","","","","EXP/01062","24/12/2024","","","Tidak","6-60203","Perbaikan & Pemeliharaan","no drop kecil","","65000","Ya","1-10001","","","","0","78000","24/12/2024","Cash"
"TOKO BANGUNAN","","","","","","","EXP/01062","24/12/2024","","","Tidak","6-60203","Perbaikan & Pemeliharaan","serat fiber 2lmbr","","8000","Ya","1-10001","","","","0","78000","24/12/2024","Cash"
"TOKO BANGUNAN","","","","","","","EXP/01062","24/12/2024","","","Tidak","6-60203","Perbaikan & Pemeliharaan","kuas 2""","","5000","Ya","1-10001","","","","0","78000","24/12/2024","Cash"
"TOSERBA","","","","","","","EXP/01061","24/12/2024","","","Tidak","6-60205","Entertain","beli minum buat mas joko mold maker","","10000","Ya","1-10001","","","","0","10000","24/12/2024","Cash"
"TOSERBA","","","","","","","EXP/01060","21/12/2024","","","Tidak","6-60205","Entertain","beli le mineral galon","","20000","Ya","1-10001","","","","0","20000","21/12/2024","Cash"
"TOSERBA","","","","","","","EXP/01059","21/12/2024","","","Tidak","6-60205","Entertain","beli makan dan minum pak hafis ,om arya","","65000","Ya","1-10001","","","","0","65000","21/12/2024","Cash"
"ARYA","","","","","","","EXP/01058","21/12/2024","","","Tidak","6-60102","Upah","kasih om arya pindahan ke gudang belakang","","50000","Ya","1-10001","","","","0","50000","21/12/2024","Cash"
"POM BENSIN","","","","","","","EXP/01057","20/12/2024","","","Tidak","6-60003","Bensin, Tol dan Parkir - Penjualan","Pembelian BBM Losbak 10 L","","100000","Ya","1-10001","","","","0","100000","20/12/2024","Cash"
"KOBRA","","","","","","","EXP/01056","20/12/2024","","","Tidak","5-50300","Pengiriman & Pengangkutan","Biaya Pengiriman Paku S Palang Hitam 100 kg Up. Bp Abu Salim","","300000","Ya","1-10001","","","","0","300000","20/12/2024","Cash"
"TOKO BANGUNAN","","","","","","","EXP/01055","18/12/2024","","","Tidak","6-60203","Perbaikan & Pemeliharaan","beli gergaji buat potong ranting","","58000","Ya","1-10001","","","","0","58000","18/12/2024","Cash"
"TOKO BANGUNAN","","","","","","","EXP/01054","18/12/2024","","","Tidak","6-60203","Perbaikan & Pemeliharaan","beli amplas uk 5000@4 lembar","","20000","Ya","1-10001","","","","0","20000","18/12/2024","Cash"
"TOSERBA","","","","","","","EXP/01053","18/12/2024","","","Tidak","6-60203","Perbaikan & Pemeliharaan","botol tempat sabun cuci tangan","","10000","Ya","1-10001","","","","0","10000","18/12/2024","Cash"
